# Semantic review of non-ancestor local branch tips
# Comparison baseline: origin/main at 79aa137a49ed61355bfca9678533e6098ec33424.
# `unique_patch_count` and `equivalent_patch_count` are from `git cherry -v origin/main <tip>`.
# Patch equivalence is triage evidence, not approval to discard requirements or generated artifacts.
source_branch	object_id	tree_relation	unique_patch_count	equivalent_patch_count	range_commit_count	preliminary_disposition	subject	archive_ref
feat/developer-operating-read-model	97882504768617f84f9c6a2b212504e985858c2e	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(developer): converge operating home read model	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/developer-operating-read-model
feat/developments-journey-convergence	d678fcb0211c0097963bc8c77fd729ad62d73879	tree-differs-from-origin-main	3	0	3	unique-patches-require-semantic-review	feat(developments): checkpoint S4 integrated acceptance and activation	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/developments-journey-convergence
feat/enhanced-navbar-visual-stabilization	9415386835fd62a5cebc65d13401f4146bc213cc	tree-differs-from-origin-main	0	1	1	patch-equivalent-to-origin-main-history	fix(navbar): close advertise menu on login intent	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/enhanced-navbar-visual-stabilization
feat/gauteng-canonical-promotion-policy	d82ebb3084fa4ff3c181ebef134520285b4a764b	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): establish Gauteng canonical promotion policy	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-canonical-promotion-policy
feat/gauteng-canonical-runtime-convergence-v0-1	35efaef01450edf6345dfa1926afe387d7b0e11a	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): establish canonical runtime convergence v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-canonical-runtime-convergence-v0-1
feat/gauteng-factual-canonical-v0-1	bd39aa38e4f7158164f3572b62db827fbf01c1a7	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): establish Gauteng factual canonical geography v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-factual-canonical-v0-1
feat/gauteng-five-location-reconciliation-v0-1	f26c5f708b00ad32ea5caba50d138ff4c4709fa8	tree-differs-from-origin-main	2	0	2	unique-patches-require-semantic-review	feat(geography): reconcile final Gauteng runtime contexts v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-five-location-reconciliation-v0-1
feat/gauteng-founder-review-refinement-v0-2	b46d5ddd281495fda42a8dd0b9093ffea98a3e28	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): refine Gauteng canonical promotion policy v0.2	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-founder-review-refinement-v0-2
feat/gauteng-geography-catalogue-v0-1	1b9951f8eae196638a942858522d42181d9f97bf	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): establish Gauteng candidate catalogue v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-geography-catalogue-v0-1
feat/gauteng-runtime-geography-authority-v0-1	46ef4aa6ec219f8ed2ec688ef9bad0201a09cf7e	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): establish governed runtime geography authority v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-runtime-geography-authority-v0-1
feat/gauteng-search-area-activation-acceptance-v0-1	64ae9b3a24d59f975caf9627bf2a8fc3dce6f7f8	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): establish Gauteng Search Area activation acceptance v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-activation-acceptance-v0-1
feat/gauteng-search-area-candidates-v0-1	ccd613d2b199504e90a74d7c5a0f6728c8ca98df	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): establish Gauteng search area candidates v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-candidates-v0-1
feat/gauteng-search-area-controlled-activation-v0-1	e6984416b33166a5411b21174e47e1f36c6e6726	tree-differs-from-origin-main	0	1	1	patch-equivalent-to-origin-main-history	feat(geography): establish Gauteng Search Area public activation v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-controlled-activation-v0-1
feat/gauteng-search-area-public-activation-v0-1	5a8e9ff715800d6fe80a8075ae852b01b387ad81	tree-differs-from-origin-main	0	1	1	patch-equivalent-to-origin-main-history	feat(geography): establish Gauteng Search Area public activation v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-public-activation-v0-1
feat/gauteng-search-area-research	5c8c04858c27339255f9648737da084097e2ec3c	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(geography): establish Gauteng search area research v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-research
feat/geography-experience-page-bodies	5842fed2a7a11546666cd18238f819336c821aae	tree-differs-from-origin-main	4	0	4	unique-patches-require-semantic-review	refactor(geography): generalize discovery scope terminology	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/geography-experience-page-bodies
feat/geography-experience-visual-foundation	60a7383cc12afc41a29d404fdfdda3973cfe2451	tree-differs-from-origin-main	2	0	2	unique-patches-require-semantic-review	feat(geography): finalize visual foundation	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/geography-experience-visual-foundation
feat/hero-location-discovery-v1-pr1	35f6dcb10a432a8a2db130ea615e2520bd796c80	tree-differs-from-origin-main	1	0	2	unique-patches-require-semantic-review	merge main into hero location discovery PR1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/hero-location-discovery-v1-pr1
feat/homepage-card-quality	86771b85da7dc519a610f6f7c8789282c2ab1c0b	tree-differs-from-origin-main	2	0	2	unique-patches-require-semantic-review	feat(home): refine property card facts and saves	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-card-quality
feat/homepage-commercial-review	1f2e2b8ba7580b9ba1f4727fdd618c51a7c16c4b	tree-differs-from-origin-main	6	0	6	unique-patches-require-semantic-review	feat(commercial): seed office review inventory	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-commercial-review
feat/homepage-development-review	6c9061ee66e8db79f64a0f9689e224cf7dd22728	tree-differs-from-origin-main	3	0	3	unique-patches-require-semantic-review	feat(home): seed development review inventory	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-development-review
feat/homepage-inventory-curation	9aa687581af0d509525f684ebce478485a8ee45b	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	feat(home): curate exact-scope inventory preview	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-inventory-curation
feat/homepage-land-review	c1c1623e7490be4d61535dd1f45844e58a34d2ba	tree-differs-from-origin-main	6	0	6	unique-patches-require-semantic-review	feat(home): seed governed land review inventory	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-land-review
feat/homepage-shared-living-review	08e28c8d3840ebd8c2db9c3a9ca2f009d64f71ff	tree-differs-from-origin-main	4	0	4	unique-patches-require-semantic-review	feat(home): preview shared living inventory	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-shared-living-review
feat/provincial-fallback-hero-refinement	225f6fd01b97c1347430e7b1da1716600bfae1dd	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	chore: checkpoint provincial fallback hero prototype	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/provincial-fallback-hero-refinement
feat/shared-living-spaces-mvp	ec8db41062907df080e9569a938ebe481574407a	tree-differs-from-origin-main	0	3	4	patch-equivalent-to-origin-main-history	fix(lint): remove duplicated isPublicNavigationVisible import	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/shared-living-spaces-mvp
fix/database-authority-runtime-recovery	44620b09a4ca4cea97902e67659b6d9ad7a21809	tree-differs-from-origin-main	0	1	1	patch-equivalent-to-origin-main-history	fix(database): recover stale local service runtime safely	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/database-authority-runtime-recovery
gate0/search-to-lead-recon-v2	e969d835d1b12d5cd0a223799af39dd5adf2c7b0	tree-differs-from-origin-main	2	4	6	unique-patches-require-semantic-review	fix(gate0): make agency membership fixture assertion timezone-safe	refs/archive/repository-convergence-20260831/local-only-branch-tips/gate0/search-to-lead-recon-v2
gate0/search-to-lead-reconciliation	6c60230221ea4752fd5a1f70128e68f85b3e94b9	tree-differs-from-origin-main	2	3	5	unique-patches-require-semantic-review	fix(gate0): reconcile Search-to-Lead acceptance scenario with runtime custody rules	refs/archive/repository-convergence-20260831/local-only-branch-tips/gate0/search-to-lead-reconciliation
geography/territory-coverage-pipeline	d3db6925f898b46567022c0985706eaf5aa7ed4f	tree-differs-from-origin-main	4	0	6	unique-patches-require-semantic-review	feat: complete commercial and land journeys	refs/archive/repository-convergence-20260831/local-only-branch-tips/geography/territory-coverage-pipeline
integrate/developments-journey-release-validation	d6a6d234466fd8deb71daed17e4b99d219742e2c	tree-differs-from-origin-main	4	0	4	unique-patches-require-semantic-review	fix(developments): honor canonical geography boundaries	refs/archive/repository-convergence-20260831/local-only-branch-tips/integrate/developments-journey-release-validation
main	b20fd7c8149fc0cb395c8791e2ecb702ffa5f190	tree-differs-from-origin-main	1	0	2	unique-patches-require-semantic-review	Merge remote-tracking branch 'origin/main'	refs/archive/repository-convergence-20260831/local-only-branch-tips/main
recovery/ox-alpha-geography-coverage	4895358ddbd2a8a69c37aa5ee3126208eea42ff7	tree-differs-from-origin-main	1	3	4	unique-patches-require-semantic-review	feat(geography): wave-2 parent edges — researched Kempton Park locality set	refs/archive/repository-convergence-20260831/local-only-branch-tips/recovery/ox-alpha-geography-coverage
svc/future-state-convergence	6f6fb05f0784233a743d02ba84d09b6ef771ee3c	tree-differs-from-origin-main	1	1	2	unique-patches-require-semantic-review	fix(test): remove stale getByText assertion for Radix portal content	refs/archive/repository-convergence-20260831/local-only-branch-tips/svc/future-state-convergence
svc/future-state-wt	2a318a1133fda8035d9b1861a9678a97fa1ff810	tree-differs-from-origin-main	2	0	2	unique-patches-require-semantic-review	chore: remove legacy services router residue	refs/archive/repository-convergence-20260831/local-only-branch-tips/svc/future-state-wt
wip/ui-launch-incubation	efb7d2a2b28c10d68d9605fd24a9fa351b4c3f16	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	chore(ui): establish launch incubation baseline	refs/archive/repository-convergence-20260831/local-only-branch-tips/wip/ui-launch-incubation
