# Local-only branch-tip recovery index
# Captured 2026-08-31. These tips were absent from all current remote refs at recovery time.
# `integrated-ancestor-of-origin-main` means the exact tip is already reachable from the forward baseline.
source_branch	object_id	committed_on	reachability_at_capture	subject	archive_ref
design/search-detail-wireframes	483c203591f41e9c9e092b9a148cd56efd310fef	2026-08-28	not-ancestor-of-origin-main	feat(search): clarify public results hierarchy	refs/archive/repository-convergence-20260831/local-only-branch-tips/design/search-detail-wireframes
docs/listing-engine-recovery-boundary	3fc59ae7e4857d4c879b7d1115777a002d696f62	2026-07-03	integrated-ancestor-of-origin-main	docs: record listing-engine recovery boundary	refs/archive/repository-convergence-20260831/local-only-branch-tips/docs/listing-engine-recovery-boundary
docs/navigation-architecture-decision	0332f61893d10dfd1887ea326ce446fade402bac	2026-06-25	integrated-ancestor-of-origin-main	docs: record navigation architecture decision	refs/archive/repository-convergence-20260831/local-only-branch-tips/docs/navigation-architecture-decision
docs/property-listify-architecture-baseline-v1	8f7441c454a994e8ef7fa5229519621bf9c53d69	2026-07-04	integrated-ancestor-of-origin-main	docs(architecture): establish Property Listify architecture baseline v1	refs/archive/repository-convergence-20260831/local-only-branch-tips/docs/property-listify-architecture-baseline-v1
docs/prospect-engine-architecture	b8ddb879c923892824a39fdd9e7fe71032991d36	2026-07-14	integrated-ancestor-of-origin-main	docs(prospect): define prospect engine architecture and MVP	refs/archive/repository-convergence-20260831/local-only-branch-tips/docs/prospect-engine-architecture
feat/agency-canvassing-mvp	0a8c08235f5eb0b12c21be4b512e3399ea7adb0c	2026-07-11	integrated-ancestor-of-origin-main	fix(canvassing): safely evaluate overdue follow-ups	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/agency-canvassing-mvp
feat/agency-commission-reconciliation-mvp	267dd2294ffbeff7baec724674cf92d81add4415	2026-07-13	integrated-ancestor-of-origin-main	test(commission): verify reconciliation lifecycle and permissions	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/agency-commission-reconciliation-mvp
feat/agency-listing-performance-mvp	a650d7e3772497def6fe65b70bf1db869fdc9c01	2026-07-14	integrated-ancestor-of-origin-main	fix(agency): read listing analytics deterministically	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/agency-listing-performance-mvp
feat/agency-mandate-conversion-mvp	061fed5f4c0d942a65a339d07f3b1609bc972419	2026-07-13	integrated-ancestor-of-origin-main	test(mandates): verify readiness privacy and listing conversion	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/agency-mandate-conversion-mvp
feat/agency-offers-transactions	0380cd2a52be81cb73c7177a6f1a61e88c8e816a	2026-07-10	integrated-ancestor-of-origin-main	feat(release): enforce production launch preflight	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/agency-offers-transactions
feat/agency-operating-core	02f2913c27a9c1da0be1fb070afa98c007c3cd8f	2026-07-08	integrated-ancestor-of-origin-main	test(showings): update canonical lifecycle enum guard	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/agency-operating-core
feat/agency-pain-point-loop-closure	f3f2ec92d5c1204f81a3a710c98f0c7a7f950b0e	2026-07-13	integrated-ancestor-of-origin-main	feat(leads): add structured buyer response and SLA escalation	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/agency-pain-point-loop-closure
feat/agency-recruitment-mvp	e460edaf540c55e3dab4dedd45984509ca903b69	2026-07-11	integrated-ancestor-of-origin-main	Merge pull request #354 from Doscoding187/feat/agency-canvassing-mvp	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/agency-recruitment-mvp
feat/commercial-monetization-s0-canonical-authority	7753ed0a0dddc47b47133b2305e6ae48d156db86	2026-08-07	not-ancestor-of-origin-main	feat(commercial): establish canonical monetization authority	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s0-canonical-authority
feat/commercial-monetization-s1-dynamic-commercial-surfaces	2ef07310e5bf14247908dfa322ca981f711d1195	2026-08-07	not-ancestor-of-origin-main	feat(commercial): connect public monetization surfaces to canonical catalog	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s1-dynamic-commercial-surfaces
feat/commercial-monetization-s2-agent-authority	b7a1cf608d0ccaf61d6d39033569a28c1e3fd46a	2026-08-07	not-ancestor-of-origin-main	feat(commercial): converge agent monetization on canonical authority	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s2-agent-authority
feat/commercial-monetization-s3-1-developer-reference-data	0ebd6257e838b93538e03559cf5ee44a278d80f5	2026-08-07	not-ancestor-of-origin-main	feat(commercial): activate paid developer launch access	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s3-1-developer-reference-data
feat/commercial-monetization-s3-developer-authority	680a758fda4103078de57a11baa5a34b57f89352	2026-08-07	not-ancestor-of-origin-main	feat(commercial): converge developer monetization on canonical authority	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s3-developer-authority
feat/commercial-monetization-s4-launch-access-generalization	c0abf783fc12f96e9734709bedb29cacfdc8d0ff	2026-08-08	not-ancestor-of-origin-main	feat(commercial): generalize paid launch access to agents and agencies	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s4-launch-access-generalization
feat/dev-s6-developer-digital-presence	70de3ed5f40c6c717be324a38843382c23a0e629	2026-08-24	not-ancestor-of-origin-main	feat(developer): DEV-S6 gap closure — logo upload, new-lead notification, directory paging	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/dev-s6-developer-digital-presence
feat/dev-s6-developer-digital-presence-wip	70de3ed5f40c6c717be324a38843382c23a0e629	2026-08-24	not-ancestor-of-origin-main	feat(developer): DEV-S6 gap closure — logo upload, new-lead notification, directory paging	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/dev-s6-developer-digital-presence-wip
feat/dev-s7-developer-growth-engine	a5f6b431438de5d6b1da5f8af6eef720407905d5	2026-08-24	not-ancestor-of-origin-main	feat(developer): DEV-S7 Developer Growth Engine — views, conversion, truthful analytics	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/dev-s7-developer-growth-engine
feat/dev-s8-developer-team-operations	50ce87ddfa72b5e975c0c79c259898e401689801	2026-08-25	not-ancestor-of-origin-main	feat(developer): A→Z acceptance journey + invited-member acceptance surface	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/dev-s8-developer-team-operations
feat/developer-operating-read-model	97882504768617f84f9c6a2b212504e985858c2e	2026-08-12	not-ancestor-of-origin-main	feat(developer): converge operating home read model	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/developer-operating-read-model
feat/developments-journey-convergence	d678fcb0211c0097963bc8c77fd729ad62d73879	2026-08-17	not-ancestor-of-origin-main	feat(developments): checkpoint S4 integrated acceptance and activation	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/developments-journey-convergence
feat/enhanced-navbar-visual-stabilization	9415386835fd62a5cebc65d13401f4146bc213cc	2026-08-10	not-ancestor-of-origin-main	fix(navbar): close advertise menu on login intent	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/enhanced-navbar-visual-stabilization
feat/explore-option-a-authority	454f127ad47a881e12effff4f8ed653e2926b417	2026-07-17	integrated-ancestor-of-origin-main	Merge pull request #372 from Doscoding187/feat/explore-option-a-phase-1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/explore-option-a-authority
feat/gauteng-canonical-promotion-policy	d82ebb3084fa4ff3c181ebef134520285b4a764b	2026-08-14	not-ancestor-of-origin-main	feat(geography): establish Gauteng canonical promotion policy	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-canonical-promotion-policy
feat/gauteng-canonical-runtime-convergence-v0-1	35efaef01450edf6345dfa1926afe387d7b0e11a	2026-08-15	not-ancestor-of-origin-main	feat(geography): establish canonical runtime convergence v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-canonical-runtime-convergence-v0-1
feat/gauteng-factual-canonical-v0-1	bd39aa38e4f7158164f3572b62db827fbf01c1a7	2026-08-15	not-ancestor-of-origin-main	feat(geography): establish Gauteng factual canonical geography v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-factual-canonical-v0-1
feat/gauteng-five-location-reconciliation-v0-1	f26c5f708b00ad32ea5caba50d138ff4c4709fa8	2026-08-16	not-ancestor-of-origin-main	feat(geography): reconcile final Gauteng runtime contexts v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-five-location-reconciliation-v0-1
feat/gauteng-founder-review-refinement-v0-2	b46d5ddd281495fda42a8dd0b9093ffea98a3e28	2026-08-15	not-ancestor-of-origin-main	feat(geography): refine Gauteng canonical promotion policy v0.2	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-founder-review-refinement-v0-2
feat/gauteng-geography-catalogue-v0-1	1b9951f8eae196638a942858522d42181d9f97bf	2026-08-14	not-ancestor-of-origin-main	feat(geography): establish Gauteng candidate catalogue v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-geography-catalogue-v0-1
feat/gauteng-runtime-geography-authority-v0-1	46ef4aa6ec219f8ed2ec688ef9bad0201a09cf7e	2026-08-15	not-ancestor-of-origin-main	feat(geography): establish governed runtime geography authority v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-runtime-geography-authority-v0-1
feat/gauteng-search-area-activation-acceptance-v0-1	64ae9b3a24d59f975caf9627bf2a8fc3dce6f7f8	2026-08-16	not-ancestor-of-origin-main	feat(geography): establish Gauteng Search Area activation acceptance v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-activation-acceptance-v0-1
feat/gauteng-search-area-candidates-v0-1	ccd613d2b199504e90a74d7c5a0f6728c8ca98df	2026-08-15	not-ancestor-of-origin-main	feat(geography): establish Gauteng search area candidates v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-candidates-v0-1
feat/gauteng-search-area-controlled-activation-v0-1	e6984416b33166a5411b21174e47e1f36c6e6726	2026-08-17	not-ancestor-of-origin-main	feat(geography): establish Gauteng Search Area public activation v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-controlled-activation-v0-1
feat/gauteng-search-area-public-activation-v0-1	5a8e9ff715800d6fe80a8075ae852b01b387ad81	2026-08-17	not-ancestor-of-origin-main	feat(geography): establish Gauteng Search Area public activation v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-public-activation-v0-1
feat/gauteng-search-area-research	5c8c04858c27339255f9648737da084097e2ec3c	2026-08-15	not-ancestor-of-origin-main	feat(geography): establish Gauteng search area research v0.1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/gauteng-search-area-research
feat/geography-experience-page-bodies	5842fed2a7a11546666cd18238f819336c821aae	2026-08-06	not-ancestor-of-origin-main	refactor(geography): generalize discovery scope terminology	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/geography-experience-page-bodies
feat/geography-experience-visual-foundation	60a7383cc12afc41a29d404fdfdda3973cfe2451	2026-08-06	not-ancestor-of-origin-main	feat(geography): finalize visual foundation	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/geography-experience-visual-foundation
feat/hero-location-discovery-v1-pr1	35f6dcb10a432a8a2db130ea615e2520bd796c80	2026-08-04	not-ancestor-of-origin-main	merge main into hero location discovery PR1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/hero-location-discovery-v1-pr1
feat/homepage-card-quality	86771b85da7dc519a610f6f7c8789282c2ab1c0b	2026-08-27	not-ancestor-of-origin-main	feat(home): refine property card facts and saves	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-card-quality
feat/homepage-commercial-review	1f2e2b8ba7580b9ba1f4727fdd618c51a7c16c4b	2026-08-27	not-ancestor-of-origin-main	feat(commercial): seed office review inventory	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-commercial-review
feat/homepage-development-review	6c9061ee66e8db79f64a0f9689e224cf7dd22728	2026-08-27	not-ancestor-of-origin-main	feat(home): seed development review inventory	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-development-review
feat/homepage-inventory-curation	9aa687581af0d509525f684ebce478485a8ee45b	2026-08-27	not-ancestor-of-origin-main	feat(home): curate exact-scope inventory preview	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-inventory-curation
feat/homepage-land-review	c1c1623e7490be4d61535dd1f45844e58a34d2ba	2026-08-27	not-ancestor-of-origin-main	feat(home): seed governed land review inventory	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-land-review
feat/homepage-shared-living-review	08e28c8d3840ebd8c2db9c3a9ca2f009d64f71ff	2026-08-27	not-ancestor-of-origin-main	feat(home): preview shared living inventory	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/homepage-shared-living-review
feat/listing-wizard-structured-property-features	dbc2cd947569f4eaa475dad26860ac1a3a6d707c	2026-07-01	integrated-ancestor-of-origin-main	Merge pull request #333 from Doscoding187/fix/mobile-pdp-gallery-checks-polish	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/listing-wizard-structured-property-features
feat/listings-v2-workflow-foundation	feae2a6f94c43c7be7a7a95487caf8ff33d68490	2026-07-03	integrated-ancestor-of-origin-main	feat(listings): recover isolated v2 workflow foundation	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/listings-v2-workflow-foundation
feat/provincial-fallback-hero-refinement	225f6fd01b97c1347430e7b1da1716600bfae1dd	2026-08-06	not-ancestor-of-origin-main	chore: checkpoint provincial fallback hero prototype	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/provincial-fallback-hero-refinement
feat/pxf-s1-public-prospect-convergence	11f7f498aacf19e7f27dd5d7f1865e0a9882f3a5	2026-07-27	integrated-ancestor-of-origin-main	chore(ci): align ts-nocheck baseline with PXF-S1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/pxf-s1-public-prospect-convergence
feat/services-property-journey-actions	bd90ec42c4f81eb0524832b6271a7230b79e8d61	2026-07-03	integrated-ancestor-of-origin-main	feat(services): inject property journey actions into pdp	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/services-property-journey-actions
feat/shared-living-spaces-mvp	ec8db41062907df080e9569a938ebe481574407a	2026-08-24	not-ancestor-of-origin-main	fix(lint): remove duplicated isPublicNavigationVisible import	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/shared-living-spaces-mvp
feature/agent-lead-visibility-followup	a82fb681e1e2aae80d2b9757ddbd244742601e91	2026-07-04	integrated-ancestor-of-origin-main	feat(agency): add scoped lead follow-up inbox	refs/archive/repository-convergence-20260831/local-only-branch-tips/feature/agent-lead-visibility-followup
feature/dle-publication-lead-contract-hardening	6a4300da1f3c432a7e53ec7efa449fb3cde0b1b9	2026-07-04	integrated-ancestor-of-origin-main	Merge pull request #341 from Doscoding187/docs/property-listify-architecture-baseline-v1	refs/archive/repository-convergence-20260831/local-only-branch-tips/feature/dle-publication-lead-contract-hardening
feature/mvp-canonical-property-lead-ownership	bffaace5f037a5be202d70e76c4a570a0c88b794	2026-07-04	integrated-ancestor-of-origin-main	fix(leads): derive canonical property enquiry ownership	refs/archive/repository-convergence-20260831/local-only-branch-tips/feature/mvp-canonical-property-lead-ownership
feature/services-engine-phase0	541309f23da7a8b68fb79df3e89d9d8541a5a5c0	2026-06-25	integrated-ancestor-of-origin-main	Merge pull request #314 from Doscoding187/codex/restore-optimized-homepage-live	refs/archive/repository-convergence-20260831/local-only-branch-tips/feature/services-engine-phase0
fix/agency-explore-metrics-defaults	012e756d6b80cb6d4cfcbb59858f8f315a9532c9	2026-07-05	integrated-ancestor-of-origin-main	fix(agency): default explore dashboard metrics	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/agency-explore-metrics-defaults
fix/database-authority-runtime-recovery	44620b09a4ca4cea97902e67659b6d9ad7a21809	2026-08-10	not-ancestor-of-origin-main	fix(database): recover stale local service runtime safely	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/database-authority-runtime-recovery
fix/dle-auction-datetime-normalization	21f7c5ecd3ed3686f6b4ced0a6dc6dd4bcd7dacd	2026-07-03	integrated-ancestor-of-origin-main	fix(dle): validate auction datetimes strictly	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/dle-auction-datetime-normalization
fix/listings-source-listing-projection-bridge	397b80440759d65a43861ea84a238c71ff0f8c98	2026-07-03	integrated-ancestor-of-origin-main	test(listings): remove lifecycle db this alias	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/listings-source-listing-projection-bridge
fix/local-database-reprovisioning-workflow	a77ce321ecae70b988612158aafb64793a8709dc	2026-07-14	integrated-ancestor-of-origin-main	docs(db): document local startup and recovery	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/local-database-reprovisioning-workflow
fix/mobile-pdp-gallery-checks-polish	5856585da40d2978c54b289820cf360becc4a564	2026-07-01	integrated-ancestor-of-origin-main	fix(property-detail): unify feature specs display	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/mobile-pdp-gallery-checks-polish
fix/property-detail-conversion-polish	3ff5a93e3e051476c47f2aa070f125afe6fcda49	2026-07-01	integrated-ancestor-of-origin-main	fix(property-detail): polish premium PDP hero layout	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/property-detail-conversion-polish
fix/property-detail-rich-mirror	6949e7dd66a3ab207f864d19a0bfa59bf2d4534a	2026-06-30	integrated-ancestor-of-origin-main	test(property): align card fact assertions with compact facts	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/property-detail-rich-mirror
fix/prospect-journey-process-group-lifecycle	36cdb201c47dee1f1d15d48e2bf6541215c03596	2026-07-16	integrated-ancestor-of-origin-main	fix(test): make prospect process-group cleanup deterministic	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/prospect-journey-process-group-lifecycle
fix/revert-railway-startup-rollback	bc81ef112fa0cba35ea366a549fd2482b28de4ae	2026-05-04	integrated-ancestor-of-origin-main	test(distribution): make referral submission user seed schema-tolerant	refs/archive/repository-convergence-20260831/local-only-branch-tips/fix/revert-railway-startup-rollback
gate0/search-to-lead-recon-v2	e969d835d1b12d5cd0a223799af39dd5adf2c7b0	2026-08-26	not-ancestor-of-origin-main	fix(gate0): make agency membership fixture assertion timezone-safe	refs/archive/repository-convergence-20260831/local-only-branch-tips/gate0/search-to-lead-recon-v2
