file	line_or_range	component_or_surface	property_or_utility	declared_value	unit_or_function	usage_context	source_authority	classification	risk	notes
client/src/index.css	490-505	Fluid utility typography	font-size	clamp(0.65rem, 0.7vw, 0.75rem) through clamp(1.25rem, 1.6vw, 1.5rem)	clamp(); rem; vw	Optional utility type scale	Active global runtime CSS	DUPLICATED_VALUE; REQUIRES_VISUAL_VERIFICATION	Medium	Duplicates global and Tailwind config fluid strategy.
client/src/globals.css	1-40	Dormant global variables	spacing/type/component custom properties	rem and px values	rem; px	Legacy global token file	Dormant stylesheet	DORMANT_AUTHORITY	Medium	No runtime import found.
client/src/styles/theme.css	8-34	Dormant theme variables	spacing/type/control dimensions	rem values and 40px controls	rem; px	Legacy global token file	Dormant stylesheet	DORMANT_AUTHORITY	Medium	Foundation test guards against importing this stylesheet.
design-system/components.css	51-64	Icon utilities	width/height	16px; 20px; 24px; 32px	px	Icon optical sizes	Imported design-system CSS	APPROPRIATE_EXISTING_USE; DELIBERATE_EXCEPTION	Low	Fixed visual detail, not content-bearing layout.
design-system/tailwind.extend.ts	31-60	Tailwind extended spacing/type	spacing and fontSize	var(--space-*); clamp(...) 	custom properties; clamp(); rem; vw	Generated utilities	Active build-time configuration	DUPLICATED_VALUE; SEMANTIC_TOKEN_CANDIDATE	Medium	Fluid type values duplicate index.css declarations.
client/src/components/ui/page-frame.tsx	28	PageFrame	max width/padding	max-w-[var(--content-rail-width)] px-[var(--content-padding-mobile)] py-[var(--space-xl)]	custom properties	Shared page primitive	Component primitive	APPROPRIATE_EXISTING_USE; SEMANTIC_TOKEN_CANDIDATE	Low	Flexible width and one rail authority.
client/src/components/ui/button.tsx	8;24-29	Button primitive	height/padding/nowrap	h-8/h-9/h-10; whitespace-nowrap	Tailwind rem scale	Shared control primitive	Component primitive	CONTENT_GROWTH_RISK; TEXT_RESIZE_RISK; UNSAFE_GLOBAL_CHANGE	Medium	Test every variant before global min-height conversion.
client/src/components/ui/input.tsx	58	Input primitive	height/font size	h-9; text-base; md:text-sm	Tailwind rem scale; breakpoint	Shared form control	Component primitive	TEXT_RESIZE_RISK; RESPONSIVE_COUPLING	Medium	Desktop text becomes smaller at md.
client/src/components/ui/tabs.tsx	15;30	Tabs primitive	height/nowrap	h-10; whitespace-nowrap	Tailwind rem scale	Shared tabs	Component primitive	CONTENT_GROWTH_RISK; TEXT_RESIZE_RISK	Medium	Long/localized labels can exceed width.
client/src/components/ui/dialog.tsx	118	Dialog primitive	viewport-bounded width	w-full max-w-[calc(100%-2rem)] sm:max-w-lg	calc(); %; rem	Modal surface	Component primitive	APPROPRIATE_EXISTING_USE	Low	Inset-based flexible dialog width.
client/src/components/ui/drawer.tsx	50-58	Drawer primitive	max height/side width	max-h-[80vh]; w-3/4; w-[100px]	vh; %; px	Drawer surface	Component primitive	MOBILE_VIEWPORT_RISK; COMPONENT_TOKEN_CANDIDATE	Medium	Legacy vh may shift under mobile browser chrome.
client/src/components/ui/table.tsx	7-12	Table primitive	container width and overflow	w-full overflow-x-auto	%; intrinsic table	Tabular data	Component primitive	DELIBERATE_EXCEPTION; APPROPRIATE_EXISTING_USE	Low	Two-dimensional data has explicit horizontal-scroll escape.
client/src/components/ui/field.tsx	47;64-67	FieldGroup/Field	container declaration/query	@container/field-group; @md/field-group:flex-row	container query	Shared form primitive	Component primitive	APPROPRIATE_EXISTING_USE; CANONICAL_CANDIDATE	Low	Only active named container-query authority; no container units.
client/src/components/EnhancedNavbar.tsx	353;385;566-601	Desktop mega menus	width	w-[min(92vw,1040px/840px/680px)]	min(); vw; px	Viewport-positioned navigation overlay	Component-local Tailwind arbitrary	APPROPRIATE_EXISTING_USE; COMPONENT_TOKEN_CANDIDATE	Low	Intent is overlay viewport fit with desktop cap.
client/src/components/EnhancedNavbar.tsx	670	Mobile navigation	maximum height	max-h-[calc(100vh-4rem)]	calc(); vh; rem	Global navigation	Component-local Tailwind	MOBILE_VIEWPORT_RISK; REQUIRES_VISUAL_VERIFICATION	Medium	Menu is scrollable but bound to legacy vh.
client/src/components/SimplePropertyListingCard.tsx	76-127	Property listing card	max width/aspect/type	max-w-[280px]; aspect-[16/10]; text-[10px]/[11px]; line-clamp-2	px; aspect ratio	Marketplace card	Component-local Tailwind arbitrary	COMPONENT_TOKEN_CANDIDATE; CONTENT_GROWTH_RISK	Medium	Small labels/title clamp need content policy.
client/src/sections/home/TestimonialsSection.tsx	54	Homepage carousel card	card width/min-height	min-h-[260px] w-[78vw] max-w-[292px]; sm:w-[320px]	px; vw	Marketing carousel	Component-local Tailwind arbitrary	COMPONENT_TOKEN_CANDIDATE; REQUIRES_VISUAL_VERIFICATION	Medium	Viewport relation is intentional; content growth requires test.
client/src/components/search/MobileFilterDrawer.tsx	60	Mobile filters	maximum height	max-h-[85vh]	vh	Bottom sheet	Component-local Tailwind arbitrary	MOBILE_VIEWPORT_RISK; REQUIRES_VISUAL_VERIFICATION	Medium	Verify inner content scrolls with expanded filters.
client/src/components/explore/PropertyOverlay.tsx	35-37	Explore property overlay	height	h-[70vh]	vh	Expanded overlay	Component-local Tailwind arbitrary	MOBILE_VIEWPORT_RISK; CONTENT_GROWTH_RISK	High	No panel overflow shown in inspected code.
client/src/domains/discovery/screens/DiscoveryFeedScreen.tsx	227	Explore feed	full viewport page	h-screen	vh	Immersive snap media	Component-local Tailwind	MOBILE_VIEWPORT_RISK; DELIBERATE_EXCEPTION	High	Test chrome, keyboard, and focus.
client/src/components/location/PropertyMap.tsx	341	Fullscreen property map	inline height	calc(100vh - 2rem)	calc(); vh; rem	Map canvas	Inline style	MOBILE_VIEWPORT_RISK; DELIBERATE_EXCEPTION	Medium	Valid fullscreen-map relationship; needs mobile decision.
client/src/features/canvassing/CanvassingWorkspace.tsx	436;478	Agency canvassing	fixed grid tracks	170px/320px tracks inside minmax grids	minmax(); fr; px	Dense operational data	Component-local Tailwind arbitrary	REFLOW_RISK; COMPONENT_TOKEN_CANDIDATE	Medium	Intentional desktop density, not global grid token.
client/src/styles/advertise-responsive.css	31;47-61	Advertise hero	min/fixed heights	min-height:max(90vh, 640px); 300px/400px/500px	max(); vh; px	Marketing hero media	Route-local CSS	MOBILE_VIEWPORT_RISK; CONTENT_GROWTH_RISK	High	Visual composition must be tested before change.
