file	component_or_surface	declaration	content_type	fixed_dimension	overflow_behaviour	text_resize_risk	reflow_risk	severity	classification	notes
client/src/sections/home/TestimonialsSection.tsx	Testimonial carousel	min-h-[260px] w-[78vw] max-w-[292px]	Quote and author	260px min and viewport width	Card grows beyond min height	Low	Medium	Medium	COMPONENT_TOKEN_CANDIDATE; REQUIRES_VISUAL_VERIFICATION	Carousel row at 320px needs test.
client/src/components/search/MobileFilterDrawer.tsx	Mobile filters	max-h-[85vh] flex flex-col	Filter controls/validation	85vh maximum	Inner scroll unverified	High	Low	High	MOBILE_VIEWPORT_RISK; CONTENT_GROWTH_RISK	Verify expanded controls/text spacing.
client/src/components/explore/PropertyOverlay.tsx	Explore overlay	h-[70vh]	Property details	70vh fixed height	Expanded content uses h-full overflow-y-auto	Medium	Low	Medium	MOBILE_VIEWPORT_RISK; CONTENT_GROWTH_RISK; REQUIRES_VISUAL_VERIFICATION	Internal scroll path reduces content-growth risk; validate mobile browser chrome, nested scrolling, focus, and long content.
client/src/domains/discovery/screens/DiscoveryFeedScreen.tsx	Explore feed item	h-screen	Full-screen video card	100vh	Snap-scrolling page	Medium	Low	High	MOBILE_VIEWPORT_RISK; DELIBERATE_EXCEPTION	Immersive media may need viewport relation.
client/src/components/location/LocationHeroSection.tsx	Location hero	h-[30vh] lg:h-[35vh]	Hero media plus overlay	30/35vh	overflow-hidden	Medium	Low	Medium	MOBILE_VIEWPORT_RISK	Safe only if text has independent space.
client/src/components/location/PropertyMap.tsx	Fullscreen map	calc(100vh - 2rem)	Map canvas	Viewport minus gutter	Canvas clips to height	Low	Low	Medium	MOBILE_VIEWPORT_RISK; DELIBERATE_EXCEPTION	Valid fullscreen-map relation.
client/src/styles/advertise-responsive.css	Advertise hero	300px/400px/500px heights	Hero media/marketing copy	Breakpoint fixed heights	Depends on children	High	Medium	High	CONTENT_GROWTH_RISK; REQUIRES_VISUAL_VERIFICATION	Do not replace globally.
client/src/features/canvassing/CanvassingWorkspace.tsx	Agency canvassing grid	170px and 320px tracks	Operational data	Fixed desktop tracks	Grid changes at md/xl	Medium	High	Medium	REFLOW_RISK; DELIBERATE_EXCEPTION	Need narrow-view evidence.
client/src/components/development-wizard/phases/UnitTypesPhase.tsx	Unit type modal	h-[75vh] flex flex-col	Form and unit table	75vh fixed height	Depends on internal scroll	Medium	Low	Medium	MOBILE_VIEWPORT_RISK; CONTENT_GROWTH_RISK	Validate nested scrolling at 200% text.
client/src/components/ProspectDashboard.tsx	Prospect drawer	w-full max-w-md h-full	Multi-step form	28rem cap/full height	Flex column; inner regions unverified	Medium	Low	Medium	CONTENT_GROWTH_RISK; REQUIRES_VISUAL_VERIFICATION	No narrow fixed width on mobile.
